yes	0.0037707396634033487
we	0.009657609536772848
shall	0.00020972804800133336
just	0.0036447441000345246
have	0.0069551535161691
to	0.02721980372470664
pretend	1.3294020071986127e-05
it's	0.005828733337830813
not	0.004659454826126123
there	0.0055555114626199935
there's	0.0015383363823598274
quite	0.0012063827169802336
as	0.005352132797339608
bad	0.0002138948304119559
when	0.0026865825638013752
i	0.019676538634009675
had	0.0028105939450699027
speak	0.00015020258499244025
for	0.007490089010409019
amnesty	6.150964510918954e-06
on	0.008120662081883227
radio	6.766060962010849e-05
essex	1.6865547852519713e-05
last	0.0007895060577079522
year	0.0009684792831546908
and	0.029062910477672
it	0.016024453060204055
was	0.008304794180790736
live	0.00019663244613937688
every	0.0004998154710646724
word	0.00027560289373117507
spoke	5.773969911862631e-05
being	0.0008549840670177346
you	0.020560888596111798
know	0.004730091708896675
heard	0.00023691134277539454
by	0.002334985495628847
a	0.021765683967411794
lot	0.0012621382339985635
of	0.022108352216132988
people	0.0026570182505069586
that's	0.003871139277678348
that	0.020555134468020937
very	0.0027800375407253377
erm	0.007992880754624137
think	0.0043132150496243945
since	0.0002234189044933788
we've	0.0012954724932835436
got	0.003652283992015651
some	0.002142718250110122
new	0.0007482350700217863
here	0.0015081768144353217
i'll	0.0007387109959403634
perhaps	0.0005662855714246031
say	0.002391137849067236
little	0.0007756167830058772
bit	0.0010333620378343842
about	0.0039147912838848695
the	0.049530542515069866
group	0.00038175663609703444
explain	0.00010020119606497006
how	0.00191552939962618
operate	2.8373804034239047e-05
also	0.0008434758108360153
this	0.006572007952601858
meeting	0.00035417650490291396
is	0.011147333457675412
going	0.002056406328747227
are	0.004931287773866734
one	0.005614243252788768
three	0.002067120912088828
hundred	0.0013730540134051343
groups	0.00012460663589861624
in	0.01594706995829249
country	0.0002494116900072621
probably	0.0005484279325219351
size	0.00011051894298651154
well	0.004600326199537289
were	0.003058815125816987
mean	0.002147281868940804
an	0.0024712988059192123
average	9.047870377351751e-05
smaller	4.702511577702555e-05
much	0.0012534078327572592
larger	3.412793212509871e-05
but	0.006623199850789506
er	0.012386058342890477
usually	0.00014365478406146203
dozen	2.480227625370546e-05
or	0.003950903398110265
so	0.0064892675590194964
once	0.0003061592980757402
month	0.00016250451401427816
often	0.00023333981499486096
room	0.00020516442917065158
apart	8.80976852531618e-05
from	0.002977860496124892
l	0.00017460802482608645
great	0.0004474330636168465
many	0.0007805772382566183
more	0.0019659276249737096
who	0.0016276245768731671
called	0.00037501041695602657
individual	0.000120836689908053
members	0.0004047731484604731
eighty	0.000446044136146639
thousand	0.0007268059033385848
now	0.0032250895858218285
joined	4.127098768616588e-05
writing	0.00011845567138769727
headquarters	1.944498458290508e-05
those	0.0014141265828812705
no	0.0034473179810550294
contact	9.920910501482184e-05
with	0.0051465715317488975
at	0.005397768985646426
all	0.004277896608239118
list	0.00017302067914584928
area	0.000540689622330779
they	0.006925986039294742
run	0.00023810185203557242
into	0.0013827765056965869
fifty	0.0006775981872512331
two	0.0030689344545284988
belong	2.103233026314223e-05
don't	0.002823887965141889
actually	0.0016250451401427818
come	0.0014575801708777624
except	5.972388121892275e-05
small	0.00026786458354001897
number	0.0007442667058211934
us	0.0013135285503962412
important	0.0004456472997265797
though	0.00029068267769342797
because	0.0027728944851642704
do	0.005226732488600874
deal	0.0002315540511045942
work	0.0012670986892493045
cos	0.0008897072537729223
different	0.0006033897767001464
organisations	3.690578706551372e-05
what	0.005949371609528836
particularly	0.00022381574091343806
letter	0.00014881365752223276
helps	3.8691550955780516e-05
make	0.0011670959113943642
organisation	3.7302623485573015e-05
matter	0.0003049687888155623
raising	3.0159567924505838e-05
money	0.000647041782906668
things	0.001374839777295401
fund	0.00011428888897707476
raise	6.984320993043457e-05
proper	8.571666673280607e-05
publicity	2.9961149714476195e-05
le	1.984182100296437e-05
letters	5.8930208378804175e-05
write	0.00024643541685681744
prisoners	9.920910501482185e-06
other	0.0017667157421039474
like	0.002887778628771434
can	0.0036600223022068075
still	0.0007526002706424384
member	0.000140876929121047
magazine	1.9643402792934726e-05
comes	0.00033373942926986065
months	0.0002615152008190704
always	0.0005912862658883382
cases	0.000100796450695059
qu	4.365200620652161e-06
same	0.0007966491132690193
doing	0.0008980408185941673
where	0.001427817439373316
our	0.0017024282420543427
own	0.000555769406293032
particular	0.0003841376546173902
look	0.0010524101859972301
after	0.0007494255792819642
far	0.00044941724571714295
meeting's	3.3731095705039424e-06
concerned	0.00020000555570988084
most	0.00061807272424234
meetings	9.166921303369539e-05
basically	0.0001789732254467386
business	0.0003404856484108686
tried	0.00010278063279535542
will	0.0024593937133174336
try	0.0004396947534256904
put	0.0014174996924517745
speakers	3.0357986134535485e-05
time	0.0020925184429726224
woman	0.00010436797847559258
who'd	2.162758489323116e-05
been	0.0023657403181834417
central	9.127237661363609e-05
america	5.516026238824094e-05
recently	7.797835654164997e-05
she	0.0012516220688669924
gave	0.00015536145845321101
interesting	0.00019048148162845792
talk	0.00033413626568991995
visit	4.6033024726877336e-05
el	3.968364200592874e-06
we'd	0.00022183155881314165
really	0.0014788109193509342
begin	4.682669756699591e-05
any	0.0018657264289087395
rate	0.00013710698313048377
go	0.002295301853622918
th	0.00046092550189886226
through	0.0009821701396467363
headings	1.3690856492045414e-05
sheet	7.897044759179819e-05
minutes	0.0002307603782644756
use	0.0006869238431226264
them	0.0029159540145956434
others	0.00016429027790454496
items	6.250173615933776e-05
agenda	7.281948308087924e-05
may	0.0007873234573976261
than	0.001058561150508149
which	0.0031621910132424314
we'll	0.0005639045529042473
